Topic,Topic,Year,Paper count
0,4,2014,1
0,9,2013,1
0,9,2015,1
0,10,2012,1
0,10,2004,1
0,11,2012,1
0,12,2010,1
0,12,2006,1
0,14,2015,1
0,20,2013,1
0,20,2014,1
0,26,2004,1
0,26,2015,2
0,27,1990,1
0,27,1993,1
0,27,1995,1
0,27,1998,1
0,27,1999,1
0,27,2000,1
0,27,2002,3
0,27,2004,1
0,27,2005,1
0,27,2006,1
0,27,2011,1
0,27,2013,1
0,32,2005,1
0,33,2013,1
0,33,1997,1
0,34,2012,1
0,34,2013,1
0,35,1991,1
0,40,2012,1
0,47,1996,1
0,47,1997,1
0,47,1999,2
0,47,2000,3
0,47,2001,1
0,47,2002,1
0,47,2004,1
0,47,2010,1
0,47,2015,1
0,48,2004,1
0,53,1993,1
0,53,2003,1
0,53,1997,1
0,53,2013,1
0,54,2000,1
0,56,2000,1
0,57,2009,1
0,58,1992,1
0,58,1999,3
0,58,2001,2
0,58,2002,1
0,58,2006,1
0,58,2008,1
0,58,2009,1
0,58,2010,1
0,58,2014,1
0,62,2013,1
0,64,2013,1
0,68,1984,1
0,69,1989,1
0,69,1981,1
0,75,2013,1
0,77,2005,1
0,81,1994,1
0,81,1996,1
0,81,1999,1
0,81,2005,2
0,81,2006,1
0,81,2007,1
0,83,2014,1
0,85,2002,1
0,85,1998,1
0,85,1999,2
0,86,2014,1
0,94,1998,1
1,6,2014,1
1,8,2004,1
1,8,2015,1
1,21,2013,1
1,31,2012,1
1,33,2013,1
1,35,2002,1
1,36,2009,1
1,41,2009,2
1,41,2011,1
1,41,2012,2
1,41,2015,1
1,44,2008,1
1,44,2012,1
1,44,2002,1
1,44,2004,1
1,44,2005,1
1,48,2009,1
1,48,2012,1
1,48,2014,3
1,60,1986,1
1,60,1982,1
1,64,2008,1
1,64,2009,1
1,64,2011,1
1,64,2014,1
1,66,2011,1
1,66,2012,1
1,66,2007,1
1,67,2003,1
1,67,2006,1
1,67,2007,1
1,67,2008,1
1,67,2009,1
1,67,2011,3
1,67,2013,1
1,67,2014,2
1,67,2015,1
1,68,2004,1
1,68,2014,2
1,68,2006,1
1,68,2008,1
1,68,2009,1
1,68,2012,2
1,68,2013,2
1,68,1982,1
1,71,2008,1
1,73,2013,1
1,77,2007,1
1,84,2008,1
1,84,2014,1
2,3,2012,1
2,3,2007,1
2,10,2009,1
2,10,2005,1
2,13,2008,1
2,13,2009,1
2,25,1991,1
2,26,1993,1
2,26,2007,4
2,26,2004,1
2,26,2006,2
2,26,2009,1
2,27,2000,1
2,27,2001,1
2,27,2002,1
2,31,2011,1
2,32,2013,1
2,35,2002,1
2,35,2003,1
2,35,1989,1
2,40,1996,1
2,40,2000,1
2,40,2001,2
2,40,2003,1
2,40,2005,2
2,40,2006,1
2,40,2007,1
2,40,2012,1
2,49,2009,1
2,49,2010,1
2,51,1991,1
2,52,1996,1
2,52,1991,1
2,53,2013,1
2,55,2002,1
2,57,2008,1
2,57,2009,1
2,57,2013,1
