topic,years
1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;2;1;3;7;3;7;3;5;4;9
2,0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;3;0;0;0;1;0;2;3;3;2;2;3;3;4;4;4;13;9
3,2;4;3;0;1;4;3;1;2;5;4;4;4;3;7;2;6;5;3;2;5;2;5;2;3;4;3;1;3;1;1;1;1;0;3;0
4,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;3;6;5;2;2;2;2;0;0;1
5,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;1;1;1;3;0;2;1;4;4;1;3;4;4;5;3
6,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;1;3;0;1;1;3;3;1;6;9;8;16
7,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;9;12
8,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;6;3;5;5;7;7;5;3
9,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;3;0;2;1;4;9;3;5;8;8;18;8;12;14
10,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;3;2;1;2;1;0
11,1;1;0;0;0;1;0;2;0;1;0;0;0;2;0;1;1;0;1;3;2;1;0;1;2;0;1;1;3;2;2;1;1;1;4;7
12,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;2;1;1;1;2;5;7;2;4
13,0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;1;0;1;1;3;2;2;0;4;2;6;1;6;9;11;6;9
14,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5;8;1;4;5
15,0;0;0;0;1;0;2;0;0;2;0;0;0;2;0;1;1;3;2;4;3;1;1;4;2;1;1;0;1;0;6;1;2;1;1;3
16,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;1;1;3;2;4;8;7;17
17,0;0;3;0;0;0;1;2;1;0;2;6;2;4;3;4;2;2;0;0;1;1;1;0;1;1;4;2;4;0;3;2;1;0;2;2
18,3;0;3;3;1;2;1;0;0;1;0;0;1;5;6;0;7;5;7;8;2;7;1;5;3;3;0;1;2;2;0;1;3;4;3;1
