paperID,author,col3,col4
USENIX_93_1,John B. Lacy,,AT&T Bell Lab
USENIX_93_2,Aviel D. Rubin,,University of Michigan Ann Arbor
USENIX_93_2,Peter Honeyman,,University of Michigan Ann Arbor
USENIX_93_3,John Ioannidis,,Columbia University
USENIX_93_3,Matt Blaze,,AT&T Bell Lab
USENIX_93_4,Jonathan I. Kamens,,OpenVision Technologies
USENIX_93_5,Bob Baldwin,,Los Altos Technologies Inc. 
USENIX_93_5,Jim Kubon,,Sun Microsystems Computer Corporation
USENIX_93_6,David R. Safford,,Texas A&M University
USENIX_93_6,Douglas Lee Schales,,Texas A&M University
USENIX_93_6,David K. Hess,,Texas A&M University
USENIX_93_7,Hyun Tae Jung,,Seoul National University
USENIX_93_7,Hae Lyong Kim,,Seoul National University
USENIX_93_7,Yang Min Seo,,Seoul National University
USENIX_93_7,Ghun Choe,,Seoul National University
USENIX_93_7,Sang Min,,Seoul National University
USENIX_93_7,Kern Koh,,Seoul National University
USENIX_93_8,Massimo Cotrozzi,,University of Milan - Italy
USENIX_93_8,David Vincenzetti,,University of Milan - Italy
USENIX_93_9,Dave Safford,,Texas A&M University
USENIX_93_9,Douglas Lee Schales,,Texas A&M University
USENIX_93_9,David K. Hess,,Texas A&M University
USENIX_93_10,Jerry M. Carlin,,Pacific Bell
USENIX_93_11,Eduardo Rodriguez,,Universidad de Chile
USENIX_93_12,Mark E. Carson,,IBM Corporation
USENIX_93_13,W. Timothy Polk,,National Institute of Standards and Technology
USENIX_95_1,Ira S. Winkler,,Science Applications International Corporation 
USENIX_95_1,Brian Dealy,,Science Applications International Corporation 
USENIX_95_2,Laurent Joncheray,,Merit Network Inc. 
USENIX_95_3,Alec Muffet,,Sun Microsystems UK
USENIX_95_4,Don Davis,,Systems Experts Inc. 
USENIX_95_4,Daniel E. Geer,,OpenVision Technologies
USENIX_95_5,Pau-Chen Cheng,,IBM T. John Watson Research Center
USENIX_95_5,Juan A. Garay,,IBM T. John Watson Research Center
USENIX_95_5,Amir Herzberg,,IBM T. John Watson Research Center
USENIX_95_5,Hugo Krawczyk,,IBM T. John Watson Research Center
USENIX_95_6,Chee-Seng Chow,,IBM T. John Watson Research Center
USENIX_95_6,Amir Herzberg,,IBM T. John Watson Research Center
USENIX_95_7,Gene H. Kim,,University of Arizona
USENIX_95_7,Hilarie Orman,,University of Arizona
USENIX_95_7,Sean OMalley,,University of Arizona
USENIX_95_8,David Vincenzetti,,Computer Emergency Response Team Italiano (CERT-IT) University of Milan
USENIX_95_8,Stefano Taino,,Computer Emergency Response Team Italiano (CERT-IT) University of Milan
USENIX_95_8,Fabio Bolognesi,,Computer Emergency Response Team Italiano (CERT-IT) University of Milan
USENIX_95_9,Matt Blaze,,AT&T Bell Lab
USENIX_95_9,Steven M. Bellovin,,AT&T Bell Lab
USENIX_95_10,Toshinari Takahashi,,Communications and Information Systems Research Labs Toshiba R&D Center
USENIX_95_10,Atsushi Shimbo,,Communications Communications and Information Systems Research Labs Toshiba R&D Center
USENIX_95_10,Masao Murota,,Communications Communications and Information Systems Research Labs Toshiba R&D Center
USENIX_95_11,Brian L. Kahn,,The MITRE Corporation
USENIX_95_12,Andrew Molitor,,Network Systems Corporation
USENIX_95_13,Kenneth M. Walker,,Trusted Information Systems Inc. 
USENIX_95_13,Daniel F. Sterne,,Trusted Information Systems Inc. 
USENIX_95_13,Lee Badger,,Trusted Information Systems Inc. 
USENIX_95_13,Michael J. Petkac,,Trusted Information Systems Inc. 
USENIX_95_13,David L. Sherman,,Trusted Information Systems Inc. 
USENIX_95_13,Karen A. Oostendorp,,Trusted Information Systems Inc. 
USENIX_95_14,Spencer E. Minear,,Secure Computing Corporation
USENIX_95_15,William A. Adamson,,University of Michigan Ann Arbor
USENIX_95_15,Jim Rees,,University of Michigan Ann Arbor
USENIX_95_15,Peter Honeyman,,University of Michigan Ann Arbor
USENIX_95_16,Aviel D. Rubin,,Bellcore
USENIX_95_17,Daniel L. McDonald,,U. S. Naval Research Laboratory
USENIX_95_17,Randall J. Atkinson,,U. S. Naval Research Laboratory
USENIX_95_17,Craig Metz,,Kaman Sciences Corporation
USENIX_95_18,Ennio Pozzetti,,Politecnico di Milano
USENIX_95_18,Vidar Vetland,,Carleton University
USENIX_95_19,Steven M. Bellovin,,AT&T Bell Lab
USENIX_95_20,Paul A. Vixie,,Internet Software Consortium
USENIX_95_21,James M. Galvin,,Trusted Information Systems Inc. 
USENIX_95_21,Mark S. Feldman,,Trusted Information Systems Inc. 
USENIX_96_1,Ian Goldberg,,University of California Berkeley
USENIX_96_1,David A. Wagner,,University of California Berkeley
