From, To
ABI, Application Binary Interface 
ABS, Anti-Lock Braking System 
ACG, Access-Control Gadget 
ACH, Automated Clearing House 
ADC, Analog-To-Digital Converter 
ADC, Analog-To-Digital Converters 
ADS, Anomaly-Detection Systems 
ADT, Abstract Data-Type 
ADT, Alternating Decision Trees 
AE, Authenticated-Encryption 
AIR, Average Indirect-Target Reduction 
AIT, Advanced Imaging Technology 
AIT, Application Information Table 
AJ, Apache Jmeter 
AKA, Anarchistic Key Authorization 
ALU, Arithmetic-Logic Unit 
AM, Amplitude Modulation 
AM, Amplitude-Modulated 
AMI, Amazon Machine Image 
AML, Adversarial Machine-Learning 
AML, Arbor Malware Library 
AMS, Activity Manager Service 
AMT, Active Management Technology 
APDU, Application-Protocol Data Unit 
APE, Abstract Payload Execution 
AR, Augmented Reality 
AS, Authentication Server 
AS, Autonomous System 
AS, Autonomous Systems 
ASIC, Application-Specific Ic 
ASK, Amplitude Shift Keying 
ASLR, Address-Space Layout Randomization 
ASM, Android Security Modules 
ASM, Aurasium Security Manager 
ASN, Autonomous System Names 
ASN, Autonomous System Number 
AT, Address Translation 
ATR, Automated Target Recognition 
AV, Anti-Virus 
BAP, Binary Analysis Platform 
BAP, Buffer Access Path 
BAT, Binary Analysis Toolkit 
BB, Buletin Board 
BBL, Basic Block 
BBS, Buletin Board System 
BCD, Binary Coded Decimal 
BCR, Binary Code Reutilization 
BDHE, Bilinear Diffie-Hellman Exponent 
BER, Basic Encoding Rules 
BER, Bit-Error Rate 
BF, Bloom Filters 
BGP, Border Gateway Protocol 
BHO, Browser-Helper Object 
BIO, Block Io 
BNF, Backus-Naur Form 
BP, Branch Prediction 
BP, Brazilian Portuguese 
BR, Bounds-Check Recognition 
BSC, Base-Station Controller 
BSM, Basic Security Module 
BSS, Base-Station System 
BTS, Base Transceiver Station 
BTS, Branch Trace Storage 
CA, Central Authority 
CAM, Contentaddressable Memory 
CAN, Controller-Area Network 
CAP, Chip Authentication Program 
CC, Compiler Construction 
CC, Country Codes 
CCA, Chosen-Ciphertext Attacks 
CCA, Chosen-Ciphertext Security 
CCA, Common Cryptographic Architecture 
CD, Community Detection 
CDF, Cumulative Density Function 
CDF, Cumulative Distribution Functions 
CDN, Content-Distribution Network 
CDSA, Common Data-Security Architecture 
CE, Convergent Encryption 
CERT, Computer Emergency Response Team 
CERT, Computing Emergency Response Team 
CF, Carry Flag 
CFB, Cipher-Feedback 
CFG, Context-Free Grammar 
CFG, Control-Flow Graph 
CFL, Context-Free Language 
CFL, Control-Flow Locking 
CFS, Cryptographic File-System For Unix 
CG, Call Graph 
CGI, Common Gateway Interface 
CI, Consistency Index 
CIDR, Classless Inter-Domain Routing 
CISC, Complex Instruction Set Computing 
CL, Certificate Library 
CLI, Command-Line Interface 
CM, Configuration Management 
CMW, Compartmented Mode Workstation 
COM, Component Object Model 
COPS, Computer Oracle Password And Security System 
COTS, Commercial-Off-The-Shelf 
CP, Call-Preceded 
CP, Control Program 
CPL, Characteristic Path Length 
CPL, Current Privilege Level 
CRF, Conditional Random Field 
CRF, Correlation-Robust Function 
CRL, Certificate Revocation-List 
CRT, Cathode Ray Tubes 
CRT, Certificate Revocation Tree 
CRT, Certificate Revocation Trees 
CRT, Chinese Remainder Theorem 
CS, Call-Site 
CS, Click Sequence 
CSCW, Computer-Supported Cooperative Work 
CSM, Cornered Saliency Map 
CSP, Content-Security Policy 
CSP, Cryptographic Service Provider 
CSV, Client-Side Validation 
CT, Certificate Transparency 
CT, Credential Translator 
CTL, Certificate Trust List 
CTS, Clear To Send 
CV, Cloud Verifier 
DA, De-Anonymization 
DAC, Data-Abstraction Component 
DAC, Digital-To-Analog Conversion 
DAC, Digital-To-Analog Converter 
DAC, Discretionary Access Controls 
DAC, Discretionary Access-Control 
DAE, Data Execution Environment 
DAE, Deterministic Authenticated-Encryption 
DANE, Dns-Based Authentication Of Named Entities 
DB, Database 
DB, Davies-Bouldin 
